#,Team,Season,Playoffs,PTS/G,PTS,Plays,YDS,YDS/Play,1STDWN,3DMADE,3DATT,3DPCT,MADERED,ATTRED,PCTRED,PEN, PENYARDS,TOP,TOP 2,TODIFF,DefPTS,DefPLAYS,DefYDS,DefYDS/PLAY,Def1STDWN,Def3dMADE,Def3dATT,Def3dPCT,DefMADERED,DefATTRED,DefPCTRED,DefPEN,DefPENYDS,DefTOP
280,Seahawks,2020,Y,28.7,459,1022,5912,5.8,356,76,189,40.2,41,56,73.2,84,662,30:08:00,30:08,4,371,1112,6089,5.5,376,105,223,47.1,35,56,62.5,94,803,30:29:00
281,Steelers,2011,Y,20.3,325,1015,5957,5.9,341,90,196,45.9,27,53,50.9,101,854,33:33:00,33:33,-13,227,964,4348,4.5,264,86,221,38.9,17,31,54.8,96,770,27:27:00
282,Steelers,2012,N,21,336,1023,5324,5.2,307,94,224,42,27,49,55.1,92,938,32:11:00,32:11,-10,314,951,4413,4.6,273,73,206,35.4,22,42,52.4,100,882,28:57:00
283,Steelers,2013,N,23.7,379,1023,5401,5.3,312,82,216,38,28,53,52.8,80,677,31:53:00,31:53,-4,370,1036,5395,5.2,303,91,230,39.6,31,55,56.4,92,800,29:07:00
284,Steelers,2014,Y,27.2,436,1068,6564,6.1,379,93,208,44.7,29,55,52.7,103,834,32:24:00,32:24,0,368,945,5654,6,314,71,189,37.6,27,50,54,97,835,28:36:00
285,Steelers,2015,Y,26.4,423,1011,6327,6.3,331,75,193,38.9,34,56,60.7,94,868,30:43:00,30:43,2,319,1055,5809,5.5,327,90,225,40,28,57,49.1,121,1149,31:54:00
286,Steelers,2016,Y,24.9,399,1026,5962,5.8,336,83,202,41.1,29,49,59.2,112,1068,31:45:00,31:45,5,327,997,5482,5.5,313,88,214,41.1,26,57,45.6,109,920,30:00:00
287,Steelers,2017,Y,25.4,406,1051,6047,5.8,348,92,209,44,32,63,50.8,101,896,32:59:00,32:59,2,308,940,4910,5.2,270,72,199,36.2,24,39,61.5,110,1041,28:07:00
288,Steelers,2018,N,26.8,428,1058,6453,6.1,378,88,198,44.4,36,49,73.5,111,1026,31:00:00,31:00,-11,360,987,5235,5.3,317,72,197,36.5,29,49,59.2,136,1170,30:37:00
289,Steelers,2019,N,18.1,289,937,4428,4.7,265,67,195,34.4,14,40,35,111,893,29:51:00,29:51,8,303,1030,4866,4.7,304,76,209,36.4,23,46,50,115,1118,31:26:00
